"DktRegion","Pipeline","sigma.0.","sigma.25.","sigma.50.","sigma.75.","sigma.100.","sigma.sd","tau.0.","tau.25.","tau.50.","tau.75.","tau.100.","tau.sd","variance.ratio.0.","variance.ratio.25.","variance.ratio.50.","variance.ratio.75.","variance.ratio.100.","variance.ratio.sd"
"rperiCAL","ANTsSST",0.35407820096917,0.371197840060494,0.375493002843723,0.379642354513964,0.399662397549163,0.00634571417549626,0.848076508443011,0.913110843063868,0.930168939566943,0.948203532413271,1.02981074303133,0.026226216746154,2.21136855472717,2.42385358206566,2.47719041569797,2.53307882761517,2.76444687653948,0.0827481557652828
"rpostC","ANTsSST",0.297284653050421,0.314663870486775,0.318221551763572,0.321595061748794,0.338452098770952,0.00517869412332944,0.889098518429477,0.964671858984959,0.982594935690907,1.00172103075305,1.08786895801305,0.0282932747219486,2.71931480177289,3.0214524900277,3.08987009547092,3.15832614893909,3.45806179941719,0.102992814650764
"rPCC","ANTsSST",0.225306575917707,0.239601550409056,0.24234355529325,0.245112068528608,0.256293364733228,0.00407210655100213,0.889112845373836,0.968318421363916,0.987671631248737,1.00653398657902,1.1127837834029,0.028335320899915,3.64101013321693,3.98033388895207,4.07514746266558,4.16986025508441,4.65759882532611,0.138125972236793
"rPreC","ANTsSST",0.296918339066812,0.312659439983099,0.316210620496067,0.319748186517189,0.334812766448917,0.00525382697315439,0.866350872677532,0.946529089599042,0.964725370798894,0.983555702628069,1.07011505090789,0.0276892857345748,2.72083376799061,2.98372996451103,3.05137581816124,3.12233018615299,3.42707253291616,0.101343328184172
"rPCUN","ANTsSST",0.213844763752127,0.224250157397312,0.226773700361748,0.229228849326103,0.241902099054115,0.00372969019638276,0.894661588783632,0.968659605041131,0.987097998077011,1.00564126183977,1.09623256322405,0.0274508422659067,3.89022026190407,4.25769383197447,4.3518937963208,4.45256659038369,4.8807082289809,0.140220602184598
"rrACC","ANTsSST",0.26845229301656,0.280452964182426,0.283468459086838,0.286710038021232,0.299436618835875,0.00473119491358583,0.876911935950913,0.963713883210271,0.981014599661751,1.00004931458453,1.11333538444358,0.027707741820268,3.09411871699144,3.38946902897153,3.46145052915562,3.53731463458038,3.87379502911798,0.112855428544414
"rrMFG","ANTsSST",0.237392963143821,0.249283060030186,0.252031903263663,0.254872688453906,0.266609308566795,0.00412314500097393,0.911356681602514,0.983982479125563,1.00311978106445,1.02185338526169,1.10581393672757,0.0283132558100522,3.5718128189503,3.89409183960281,3.97601120178062,4.06623019495845,4.45754466634331,0.130174163577596
"rSFG","ANTsSST",0.247511163565245,0.261512718876046,0.264408892197045,0.2673367114907,0.278810813050099,0.00432772828005123,0.90075292844621,0.969325516476906,0.98769692340875,1.00638522547796,1.08091519112612,0.0271331430928564,3.37020033121224,3.65373308315969,3.73534492776545,3.81538524842302,4.16131322518299,0.119489427242205
"rSPL","ANTsSST",0.271377662881561,0.284530743006485,0.287721059484361,0.291088878912136,0.307173319440444,0.00485272408974646,0.907968724911491,0.976850999274496,0.995732063977169,1.0157735471983,1.11328183683955,0.0280818768038356,3.1068415605455,3.3854811747305,3.46067964254436,3.54023060963071,3.98342085008706,0.113908765928804
"rSTG","ANTsSST",0.216215427015293,0.227593697335513,0.230108580185952,0.232697671010647,0.246526585605779,0.00374426392361799,0.90169173627055,0.977507109894244,0.995039389098235,1.01355666792809,1.14461318071711,0.0281618557995161,3.82800985463909,4.23570496694578,4.32624072133594,4.41608574850356,5.1636558082534,0.139642876647851
"rSMAR","ANTsSST",0.235752505069657,0.250263531060158,0.253016825292858,0.255852125519713,0.269275559091427,0.00422877192172044,0.89774520901122,0.979806522870064,0.998304510046833,1.01793890525668,1.11027808524704,0.0281614117856065,3.47154141682422,3.86018011172463,3.94538217798252,4.03602531276,4.43507114647457,0.127234971625873
"rTT","ANTsSST",0.391241904150373,0.407198302890598,0.412019394702076,0.416867423024036,0.440374411036698,0.00694395432506408,0.824162409983762,0.893160767120958,0.910667574293619,0.928608197573081,1.00604009472838,0.0263079723730756,1.91717405512421,2.1620789849503,2.21012881940321,2.25978388376611,2.53194236130199,0.0745971428173055
"rINS","ANTsSST",0.232164710686277,0.242600939324458,0.245286707302976,0.248107652461992,0.258432979523917,0.00408320877865727,0.909287056950568,0.976107888359668,0.994116768026428,1.01297627185927,1.09197313624628,0.0276598057289024,3.59412168178785,3.96818923672171,4.05583580678383,4.13957373830106,4.51079519830758,0.130064204547303
